WordItem,WordColour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcomeslide.started,textwelcome.started,keywelcome.started,Welcomeslide.stopped,keywelcome.keys,keywelcome.rt,keywelcome.duration,Instructions.started,textinstruction.started,keyinstruction.started,Instructions.stopped,keyinstruction.keys,keyinstruction.rt,keyinstruction.duration,StudyTrial.started,textStudyTrial.started,textStudyTrial.stopped,StudyTrial.stopped,blankscreen.started,textblank.started,textblank.stopped,blankscreen.stopped,y_n_screen.started,texty_n_screen.started,keyy_n_screen.started,y_n_screen.stopped,keyy_n_screen.keys,keyy_n_screen.rt,keyy_n_screen.duration,testrials.started,texttestrails.started,key_resp.started,testrials.stopped,key_resp.keys,key_resp.rt,key_resp.duration,endscreen.started,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,0.0026525,0.0065046,0.0065046,1.4304148,space,1.4064694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25740,1,2024-12-06_19h32.52.487,short term memory experiment,2024.1.5,None,2024-12-06 19h32.58.030281 +0530
,,,,,,,,,,,,,,,,,,,1.4304483,1.4458661,1.4458661,2.6798602,space,1.2319298,None,,,,,,,,,,,,,,,,,,,,,,,,,25740,1,2024-12-06_19h32.52.487,short term memory experiment,2024.1.5,None,2024-12-06 19h32.58.030281 +0530
anxiety,blue,0,0,0,0,,,,,2.6949671,,,,,,,,,,,,,,,,2.6845595,2.6949671,4.6950301,4.6786514,4.6786682,4.6950301,5.1947812,5.1785902,,,,,,,,,,,,,,,,,25740,1,2024-12-06_19h32.52.487,short term memory experiment,2024.1.5,None,2024-12-06 19h32.58.030281 +0530
content,yellow,0,1,1,5,,,,,5.1947812,,,,,,,,,,,,,,,,5.1788053,5.1947812,,7.1801412,7.180171,7.1970894,,7.6805935,,,,,,,,,,,,,,,,,25740,1,2024-12-06_19h32.52.487,short term memory experiment,2024.1.5,None,2024-12-06 19h32.58.030281 +0530
joyous ,yellow,0,2,2,4,,,,,7.6972088,,,,,,,,,,,,,,,,7.6808295,7.6972088,,9.6948143,9.6948446,9.7110028,,10.1947378,,,,,,,,,,,,,,,,,25740,1,2024-12-06_19h32.52.487,short term memory experiment,2024.1.5,None,2024-12-06 19h32.58.030281 +0530
depression,blue,0,3,3,1,,,,,10.211075,,,,,,,,,,,,,,,,10.1952691,10.211075,,12.1945415,12.1945742,12.2109681,,12.6945535,,,,,,,,,,,,,,,,,25740,1,2024-12-06_19h32.52.487,short term memory experiment,2024.1.5,None,2024-12-06 19h32.58.030281 +0530
vexed,blue,0,4,4,2,,,,,12.7108652,,,,,,,,,,,,,,,,12.69514,12.7108652,,14.6943037,14.6943351,14.7105347,,15.1943189,,,,,,,,,,,,,,,,,25740,1,2024-12-06_19h32.52.487,short term memory experiment,2024.1.5,None,2024-12-06 19h32.58.030281 +0530
excited,yellow,0,5,5,3,,,,,15.2104668,,,,,,,,,,,,,,,,15.1948735,15.2104668,,17.1940082,17.1940411,17.2102672,,17.6936662,,,,,,,,,,,,,,,,,25740,1,2024-12-06_19h32.52.487,short term memory experiment,2024.1.5,None,2024-12-06 19h32.58.030281 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6938092,17.7102187,,18.1938099,,,,,,,,,,,,,,,,,25740,1,2024-12-06_19h32.52.487,short term memory experiment,2024.1.5,None,2024-12-06 19h32.58.030281 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1938523,18.2100385,18.2100385,21.4615795,space,3.2352252,None,,,,,,,,,,25740,1,2024-12-06_19h32.52.487,short term memory experiment,2024.1.5,None,2024-12-06 19h32.58.030281 +0530
